epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.16832000017166138,2.203707456588745,0.15,0.25380000472068787,2.027925491333008
1,0.2662000060081482,2.019094705581665,0.15,0.2992999851703644,1.93789803981781
2,0.30527999997138977,1.9363937377929688,0.15,0.3206999897956848,1.9115246534347534
3,0.33410000801086426,1.891900658607483,0.15,0.3488999903202057,1.8488154411315918
4,0.3546000123023987,1.8654961585998535,0.15,0.32829999923706055,2.0691146850585938
5,0.377020001411438,1.8307664394378662,0.15,0.3855000138282776,1.8034664392471313
6,0.39122000336647034,1.8159162998199463,0.15,0.38839998841285706,1.8275810480117798
7,0.40408000349998474,1.806805968284607,0.15,0.41130000352859497,1.7715214490890503
8,0.41284000873565674,1.7866597175598145,0.15,0.4219000041484833,1.75550377368927
9,0.4232200086116791,1.7715963125228882,0.15,0.42890000343322754,1.7418102025985718
10,0.43105998635292053,1.7681043148040771,0.15,0.4350000023841858,1.751235008239746
11,0.43658000230789185,1.7608906030654907,0.15,0.43860000371932983,1.7632319927215576
12,0.4415600001811981,1.767007827758789,0.15,0.44339999556541443,1.7722445726394653
13,0.448419988155365,1.7575334310531616,0.15,0.4507000148296356,1.780064344406128
14,0.453139990568161,1.757192611694336,0.15,0.4555000066757202,1.7412595748901367
15,0.4583599865436554,1.7525639533996582,0.15,0.4578000009059906,1.743521809577942
16,0.46522000432014465,1.7443137168884277,0.15,0.46320000290870667,1.7335294485092163
17,0.4677000045776367,1.7464804649353027,0.15,0.460999995470047,1.7582429647445679
18,0.47356000542640686,1.7417469024658203,0.15,0.46630001068115234,1.762870192527771
19,0.47363999485969543,1.7428059577941895,0.15,0.476500004529953,1.757222056388855
